acpi 1.8-2
acpilight 1.2-3
alacritty 0.16.1-1
alsa-utils 1.2.15.2-2
auto-cpufreq 3.0.0-3
base 3-3
base-devel 1-2
bash-completion 2.17.0-3
bat 0.26.1-2
bc 1.08.2-1
bluetuith 0.2.6-1
bluez-utils 5.86-4
btop 1.4.6-1
capstone 5.0.7-2
cgdb 0.8.0-2
chromium 146.0.7680.153-1
cmake 4.3.0-2
cups 2:2.4.16-2
dhcpcd 10.3.1-1
discord 1:0.0.129-1
docker 1:29.3.0-1
docker-compose 5.1.1-1
dunst 1.13.1-1
efibootmgr 18-3
evtest 1.36-1
eza 0.23.4-3
firefox 148.0.2-1
foot 1.26.1-1
foot-terminfo 1.26.1-1
fprintd 1.94.5-1
gcc 15.2.1+r604+g0b99615a8aef-1
gdb 17.1-2
gimp 3.2.0-1
git 2.53.0-1
glow 2.1.1-1
go 2:1.26.1-1
gourou 0.8.8-1
grim 1.5.0-2
heroic-games-launcher-bin 2.20.1-1
hypridle 0.1.7-7
hyprland 0.54.2-2
hyprlock 0.9.2-9
hyprpaper 0.8.3-3
hyprpicker 0.4.6-2
impala 0.7.4-1
inetutils 2.7-2
intel-gpu-tools 2.3-2
intel-media-driver 25.4.6-1
intel-ucode 20260227-1
iwd 3.12-1
lib32-gcc-libs 15.2.1+r604+g0b99615a8aef-1
lib32-mesa 1:26.0.3-1
lib32-nvidia-utils 590.48.01-1
lib32-vulkan-intel 1:26.0.3-1
libfprint-goodix-53xc 0.0.6-2
libnotify 0.8.8-1
libreoffice-fresh 26.2.1-2
libva-intel-driver 2.4.1-6
libva-utils 2.22.0-1
limine 10.8.5-1
linux 6.19.9.arch1-1
linux-firmware 20260309-1
linux-headers 6.19.9.arch1-1
lsof 4.99.6-1
ltrace 0.7.3-6
man-db 2.13.1-1
nasm 3.01-1
ncdu 2.9.2-1
neovim 0.11.6-1
nmap 7.98-5
noto-fonts 1:2026.03.01-1
noto-fonts-emoji 1:2.051-1
npm 11.12.0-1
nvidia-open-dkms 590.48.01-4
nvidia-prime 1.0-5
nvidia-utils 590.48.01-4
nvm 0.40.4-1
obsidian 1.12.4-1
ollama-cuda 0.18.2-1
openssh 10.2p1-2
oterm 0.14.7-1
pipewire-alsa 1:1.6.2-1
pipewire-pulse 1:1.6.2-1
powertop 2.15-2
python-dbus 1.4.0-2
python-jsonref 1.1.0-1
python-pip 26.0.1-1
python-pymupdf 1.27.2.2-1
python-textual-image 0.8.5-2
rbenv 1.3.2-2
ripgrep 15.1.0-2
ropper 1.13.13-2
signal-desktop 8.3.0-1
slurp 1.5.0-1
sof-firmware 2025.12.2-1
starship 1.24.2-2
steam 1.0.0.85-5
sudo 1.9.17.p2-2
swayosd 0.3.0-2
tailscale 1.96.2-1
tigervnc 1.16.0-3
tlp 1.9.1-1
tlp-rdw 1.9.1-1
tmux 3.6_a-1
ttf-inconsolata 1:3.000-5
ttf-inconsolata-nerd 3.4.0-2
ttf-ms-win10-auto 10.0.19042.789-6
unicorn 2.1.4-2
unzip 6.0-23
valgrind 3.25.1-4
vulkan-intel 1:26.0.3-1
waybar 0.15.0-2
wireguard-tools 1.0.20260223-1
wl-clip-persist 0.5.0-2
wl-clipboard 1:2.2.1-3
wofi 1.5.3-1
xdg-desktop-portal-hyprland 1.3.11-3
yay 12.5.7-1
youtube-tui 0.9.4-1
youtui 0.0.35-1
zip 3.0-11
zoom 6.7.5-1
